2022-11-13 15:08:44.859 [info] [perf] Render performance baseline is 97ms
2022-11-15 09:35:55.395 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:36:57.369 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:37:55.338 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:38:55.336 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:39:57.347 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:40:58.355 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:41:58.347 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:42:55.344 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:44:03.346 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:45:04.345 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:45:55.349 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:46:55.355 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:47:54.340 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:48:55.337 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:49:54.356 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:50:54.352 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:51:55.354 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:52:55.341 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:53:56.352 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:54:54.351 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:55:57.353 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:56:54.376 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:57:55.347 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:58:57.342 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 09:59:56.361 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:00:56.428 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:01:55.335 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:02:54.378 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:03:55.350 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:04:54.348 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:05:57.339 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:06:58.377 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:07:54.342 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:08:55.448 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:09:54.359 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:10:54.358 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:11:55.340 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:12:55.352 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:13:55.349 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:14:55.346 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:15:55.379 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:16:55.346 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:17:56.384 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:18:56.386 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:19:56.337 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:20:54.354 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:21:57.366 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:22:57.344 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:23:57.343 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:24:54.351 [info] UNRESPONSIVE extension host: starting to profile NOW
2022-11-15 10:25:57.359 [info] UNRESPONSIVE extension host: starting to profile NOW
